Brand,Strap_color,Size,Flipkart_assured,Sponsored,Page_num,Price,Original_price,Discount,Price_category,Ratings,Reviews,Promotion_tag
Goboult,Ash Black,Free Size,False,True,22,1599,9999,84% off,Budget,4.0,20427,Super Deals
Goboult,Black,Free Size,True,True,22,2499,7999,68% off,Mid-Range,4.1,402661,Upto ₹300 Off on Exchange
Nikki,"Golden, Pink",Free,True,False,22,951,4399,78% off,Budget,3.8,2038,Bank Offer
Titan,Black,Free Size,True,False,22,3999,13995,71% off,Mid-Range,4.2,936,Upto ₹300 Off on Exchange
Techwind,Mullti Color,Free Size,True,False,22,206,999,79% off,Budget,3.8,1870,Bank Offer
Db,Pack of 4,Free Size,False,False,22,154,599,74% off,Budget,3.6,26,Bank Offer
Fire,Charcoal Grey,Free Size,False,True,22,999,14999,93% off,Budget,4.1,482547,Super Deals
Boat,Bold Black,Free Size,True,True,22,1199,7990,84% off,Budget,4.1,424423,Upto ₹300 Off on Exchange
Boat,Black Metal,Free Size,False,False,22,1799,8499,78% off,Budget,4.0,85,Super Deals
Boat,Active Black,Free Size,True,False,22,3699,9999,63% off,Mid-Range,4.2,1237,Upto ₹300 Off on Exchange
Goboult,Jet Black,Free Size,True,True,22,1899,6999,72% off,Budget,4.2,50447,Upto ₹300 Off on Exchange
Gamesir,Black,Free Size,False,True,22,894,3999,77% off,Budget,3.7,718,Bank Offer
Noise,Jet Black,Regular,True,False,22,2499,6999,64% off,Mid-Range,4.0,576,Upto ₹300 Off on Exchange
Yash,Black,Free Size,False,False,22,472,1499,68% off,Budget,3.6,75,Bank Offer
Noise,Classic Brown,Regular,False,False,22,6999,9999,30% off,Premium,4.2,152,Super Deals
Cellecor,Cool Grey,Free Size,True,False,22,999,3999,75% off,Budget,4.2,676,Bank Offer
Fire,Black Dual,Free Size,False,True,22,1299,9999,87% off,Budget,4.1,335485,Super Deals
Goboult,Silver,Free Size,True,True,22,1299,4499,71% off,Budget,4.1,119644,Upto ₹300 Off on Exchange
Fire,Black SS,Free Size,True,False,22,1399,16999,91% off,Budget,4.1,482547,Upto ₹300 Off on Exchange
Noise,Green,Regular,False,False,22,1499,6999,78% off,Budget,3.9,1118,Super Deals
Goboult,Silver,Free Size,True,True,22,1799,6999,74% off,Budget,4.0,5251,Upto ₹300 Off on Exchange
Goboult,Green,Free Size,True,True,22,1099,7999,86% off,Budget,4.1,402661,Upto ₹300 Off on Exchange
Goboult,Gunmetal,Free Size,False,False,22,2499,7999,68% off,Mid-Range,4.0,3340,Upto ₹300 Off on Exchange
